Word,Pinyin,POS,Translation
定向,dìngxiàng,动,
定心丸,dìngxīnwán,名,
订阅,dìngyuè,动,
定做,dìngzuò,动,
丢脸,diūliǎn,动,
丢弃,diūqì,动,
丢人,diūrén,动,
丢三落四,diūsān-làsì,,
东奔西走,dōngbēn-xīzǒu,,
东道主,dōngdàozhǔ,名,
东张西望,dōngzhāng-xīwàng,,
董事,dǒngshì,名,
懂事,dǒngshì,形,
董事会,dǒngshìhuì,名,
董事长,dǒngshìzhǎng,名,
动不动,dòngbudòng,副,
动荡,dòngdàng,动、形,
动感,dònggǎn,名,
动工,dònggōng,动,
冻结,dòngjié,动,
动静,dòngjing,名,
栋梁,dòngliáng,名,
动脉,dòngmài,名,
动身,dòngshēn,动,
动弹,dòngtan,动,
动向,dòngxiàng,名,
洞穴,dòngxué,名,
动摇,dòngyáo,形、动,
动用,dòngyòng,动,
动员,dòngyuán,动,
兜,dōu,名、动,
兜售,dōushòu,动,
抖,dǒu,动,
陡,dǒu,形,
陡峭,dǒuqiào,形,
斗,dòu,动,
逗留,dòuliú,动,
斗志,dòuzhì,名,
豆子,dòuzi,名,
督促,dūcù,动,
都会,dūhuì,名,
独,dú,副,
独家,dújiā,名,
毒品,dúpǐn,名,
独身,dúshēn,动,
读物,dúwù,名,
独一无二,dúyī-wú’èr,,
赌,dǔ,动,
赌博,dǔbó,动,
堵塞,dǔsè,动,
杜绝,dùjué,动,
端正,duānzhèng,形、动,
短暂,duǎnzàn,形,
断定,duàndìng,动,
断断续续,duànduànxùxù,形,
断绝,duànjué,动,
断裂,duànliè,动,
段落,duànluò,名,
断然,duànrán,形、副,
断章取义,duànzhāng-qǔyì,,
堆积,duījī,动,
堆砌,duīqì,动,
兑,duì,动,
对岸,duì’àn,名,
对白,duìbái,名,
对策,duìcè,名,
对得起,duìdeqǐ,动,
对付,duìfu,动,
兑换,duìhuàn,动,
对联,duìlián,名,
对流,duìliú,动,
对牛弹琴,duìniú-tánqín,,
兑现,duìxiàn,动,
队形,duìxíng,名,
对弈,duìyì,动,
对照,duìzhào,动,
对症下药,duìzhèng-xiàyào,,
对峙,duìzhì,动,
敦促,dūncù,动,
敦厚,dūnhòu,形,
炖,dùn,动,
多年来,duō nián lái,,
多半,duōbàn,数、副,
多边,duōbiān,形,
哆嗦,duōsuo,动,
多心,duōxīn,动,
夺冠,duóguàn,动,
夺魁,duókuí,动,
堕落,duòluò,动,
鹅,é,名,
额度,édù,名,
额外,éwài,形,
讹诈,ézhà,动,
恶,è,形,
噩耗,èhào,名,
恶化,èhuà,动,
恶性,èxìng,形,
恶意,èyì,名,
鳄鱼,èyú,名,
厄运,èyùn,名,
遏制,èzhì,动,
恶作剧,èzuòjù,动、名,
恩爱,ēn’ài,形,
恩情,ēnqíng,名,
恩人,ēnrén,名,
恩怨,ēnyuàn,名,
